Date,USD_to_pound_spot
2013-03-06,1.5036
2013-03-07,1.5032
2013-03-08,1.4926
2013-03-11,1.4898
2013-03-12,1.4877
2013-03-13,1.4925
2013-03-14,1.5039
2013-03-15,1.5124
2013-03-18,1.5113
2013-03-19,1.5118
2013-03-20,1.5133
2013-03-21,1.518
2013-03-22,1.5239
2013-03-25,1.5184
2013-03-26,1.5156
2013-03-27,1.5112
2013-03-28,1.5184
2013-03-29,1.5193
2013-04-01,1.5232
2013-04-02,1.5113
2013-04-03,1.514
2013-04-04,1.5198
2013-04-05,1.5336
2013-04-08,1.5257
2013-04-09,1.5317
2013-04-10,1.5315
2013-04-11,1.5403
2013-04-12,1.5373
2013-04-15,1.532
2013-04-16,1.5316
2013-04-17,1.5255
2013-04-18,1.5282
2013-04-19,1.5254
2013-04-22,1.5262
2013-04-23,1.5267
2013-04-24,1.5258
2013-04-25,1.5434
2013-04-26,1.5479
2013-04-29,1.5497
2013-04-30,1.5539
2013-05-01,1.5578
2013-05-02,1.5519
2013-05-03,1.5563
2013-05-06,1.5538
2013-05-07,1.5468
2013-05-08,1.5563
2013-05-09,1.5502
2013-05-10,1.5334
2013-05-13,1.5291
2013-05-14,1.5258
2013-05-15,1.5198
2013-05-16,1.5302
2013-05-17,1.5173
2013-05-20,1.5223
2013-05-21,1.517
2013-05-22,1.5038
2013-05-23,1.512
2013-05-24,1.5126
2013-05-27,
2013-05-28,1.5061
2013-05-29,1.5121
2013-05-30,1.5207
2013-05-31,1.5185
2013-06-03,1.5349
2013-06-04,1.5304
2013-06-05,1.5392
2013-06-06,1.5601
2013-06-07,1.5558
2013-06-10,1.5556
2013-06-11,1.5587
2013-06-12,1.5697
2013-06-13,1.5698
2013-06-14,1.5686
2013-06-17,1.5709
2013-06-18,1.5625
2013-06-19,1.5657
2013-06-20,1.5469
2013-06-21,1.5373
2013-06-24,1.5404
2013-06-25,1.5418
2013-06-26,1.5332
2013-06-27,1.5235
2013-06-28,1.521
2013-07-01,1.5247
2013-07-02,1.5171
2013-07-03,1.5264
2013-07-04,
2013-07-05,1.491
2013-07-08,1.4932
2013-07-09,1.4837
2013-07-10,1.4935
2013-07-11,1.5127
2013-07-12,1.5108
2013-07-15,1.5088
2013-07-16,1.5122
2013-07-17,1.5184
2013-07-18,1.5193
2013-07-19,1.526
2013-07-22,1.5366
2013-07-23,1.5354
2013-07-24,1.5367
2013-07-25,1.5333
2013-07-26,1.5368
2013-07-29,1.5355
2013-07-30,1.5244
2013-07-31,1.5177
2013-08-01,1.5145
2013-08-02,1.5277
2013-08-05,1.5347
2013-08-06,1.5367
2013-08-07,1.5514
2013-08-08,1.5555
2013-08-09,1.5507
2013-08-12,1.5475
2013-08-13,1.5451
2013-08-14,1.5531
2013-08-15,1.5573
2013-08-16,1.5621
2013-08-19,1.5665
2013-08-20,1.5678
2013-08-21,1.5678
2013-08-22,1.558
2013-08-23,1.5578
2013-08-26,1.5568
2013-08-27,1.5528
2013-08-28,1.552
2013-08-29,1.5488
2013-08-30,1.5468
2013-09-02,
2013-09-03,1.5544
2013-09-04,1.5643
2013-09-05,1.5593
2013-09-06,1.5633
2013-09-09,1.5724
2013-09-10,1.5731
2013-09-11,1.5807
2013-09-12,1.5819
2013-09-13,1.5861
2013-09-16,1.5927
2013-09-17,1.5901
2013-09-18,1.5965
2013-09-19,1.6043
2013-09-20,1.6021
2013-09-23,1.6066
2013-09-24,1.6006
2013-09-25,1.608
2013-09-26,1.6012
2013-09-27,1.6135
2013-09-30,1.6179
2013-10-01,1.6208
2013-10-02,1.6224
2013-10-03,1.6169
2013-10-04,1.6069
2013-10-07,1.6082
2013-10-08,1.6089
2013-10-09,1.5943
2013-10-10,1.5975
2013-10-11,1.5945
2013-10-14,
2013-10-15,1.5974
2013-10-16,1.5904
2013-10-17,1.6166
2013-10-18,1.6184
2013-10-21,1.6149
2013-10-22,1.6221
2013-10-23,1.6171
2013-10-24,1.6186
2013-10-25,1.6158
2013-10-28,1.6131
2013-10-29,1.6059
2013-10-30,1.6078
2013-10-31,1.6068
2013-11-01,1.5922
2013-11-04,1.595
2013-11-05,1.6044
2013-11-06,1.608
2013-11-07,1.6069
2013-11-08,1.5995
2013-11-11,
2013-11-12,1.5916
2013-11-13,1.6033
2013-11-14,1.6077
2013-11-15,1.6107
2013-11-18,1.611
2013-11-19,1.611
2013-11-20,1.615
2013-11-21,1.6155
2013-11-22,1.6211
2013-11-25,1.6146
2013-11-26,1.6187
2013-11-27,1.6267
2013-11-28,
2013-11-29,1.6373
2013-12-02,1.6365
2013-12-03,1.6416
2013-12-04,1.6352
2013-12-05,1.6328
2013-12-06,1.6327
2013-12-09,1.6403
2013-12-10,1.6424
2013-12-11,1.6389
2013-12-12,1.6326
2013-12-13,1.6294
2013-12-16,1.6311
2013-12-17,1.6254
2013-12-18,1.6388
2013-12-19,1.6382
2013-12-20,1.6355
2013-12-23,1.6356
2013-12-24,1.6371
2013-12-25,
2013-12-26,1.6425
2013-12-27,1.6491
2013-12-30,1.6522
2013-12-31,1.6574
2014-01-01,
2014-01-02,1.6441
2014-01-03,1.6424
2014-01-06,1.6412
2014-01-07,1.6421
2014-01-08,1.6461
2014-01-09,1.6459
2014-01-10,1.647
2014-01-13,1.6379
2014-01-14,1.645
2014-01-15,1.6375
2014-01-16,1.6335
2014-01-17,1.6429
2014-01-20,
2014-01-21,1.6469
2014-01-22,1.6571
2014-01-23,1.6612
2014-01-24,1.6491
2014-01-27,1.6588
2014-01-28,1.6581
2014-01-29,1.6561
2014-01-30,1.6487
2014-01-31,1.645
2014-02-03,1.6307
2014-02-04,1.63
2014-02-05,1.6308
2014-02-06,1.6345
2014-02-07,1.6395
2014-02-10,1.6419
2014-02-11,1.6468
2014-02-12,1.6578
2014-02-13,1.6643
2014-02-14,1.6736
2014-02-17,
2014-02-18,1.6696
2014-02-19,1.6718
2014-02-20,1.664
2014-02-21,1.663
2014-02-24,1.6641
2014-02-25,1.6696
2014-02-26,1.6648
2014-02-27,1.6693
2014-02-28,1.675
2014-03-03,1.6712
2014-03-04,1.6665
2014-03-05,1.6729
2014-03-06,1.6743
2014-03-07,1.6725
2014-03-10,1.6633
2014-03-11,1.6628
2014-03-12,1.6605
2014-03-13,1.6677
2014-03-14,1.663
