Date,USD_Emerging_Mkt_index
2014-04-07,97.9913
2014-04-08,97.6368
2014-04-09,97.7986
2014-04-10,97.7527
2014-04-11,97.8571
2014-04-14,97.939
2014-04-15,98.1401
2014-04-16,98.0033
2014-04-17,98.0119
2014-04-18,97.9913
2014-04-21,98.0529
2014-04-22,98.2085
2014-04-23,98.3433
2014-04-24,98.3654
2014-04-25,98.4624
2014-04-28,98.4099
2014-04-29,98.2546
2014-04-30,98.2699
2014-05-01,98.1883
2014-05-02,98.0195
2014-05-05,97.9902
2014-05-06,97.8177
2014-05-07,97.7508
2014-05-08,97.5787
2014-05-09,97.688
2014-05-12,97.6588
2014-05-13,97.5242
2014-05-14,97.4201
2014-05-15,97.6585
2014-05-16,97.471
2014-05-19,97.3451
2014-05-20,97.5407
2014-05-21,97.4809
2014-05-22,97.3832
2014-05-23,97.3659
2014-05-26,
2014-05-27,97.5768
2014-05-28,97.5825
2014-05-29,97.3769
2014-05-30,97.5221
2014-06-02,97.7515
2014-06-03,97.8442
2014-06-04,97.8945
2014-06-05,97.6652
2014-06-06,97.5848
2014-06-09,97.6243
2014-06-10,97.68
2014-06-11,97.6821
2014-06-12,97.5297
2014-06-13,97.6176
2014-06-16,97.7846
2014-06-17,98.0464
2014-06-18,97.9952
2014-06-19,97.7611
2014-06-20,97.7713
2014-06-23,97.6619
2014-06-24,97.7226
2014-06-25,97.7272
2014-06-26,97.6399
2014-06-27,97.5112
2014-06-30,97.37
2014-07-01,97.2814
2014-07-02,97.3617
2014-07-03,97.3428
2014-07-04,
2014-07-07,97.4148
2014-07-08,97.3427
2014-07-09,97.2453
2014-07-10,97.3685
2014-07-11,97.384
2014-07-14,97.3816
2014-07-15,97.4954
2014-07-16,97.4317
2014-07-17,97.5868
