Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1962-06,-9.11,-10.79,-7.38,-6.72,-10.69,-8.71,-7.9,-7.01,-6.72,-12.08,-9.24,-10.99,-6.43,-7.85,-7.94,-7.29,-6.72,-7.56,-5.87
1962-07,10.82,7.63,5.28,5.68,8.62,5.44,5.79,4.77,5.86,10.35,6.89,5.57,5.31,4.74,6.8,4.23,5.31,5.28,6.43
1962-08,8.1,2.51,2.32,3.24,2.93,1.91,2.61,2.46,3.34,3.19,2.66,1.64,2.18,3.63,1.63,1.88,3.04,2.09,4.55
1962-09,-7.84,-6.66,-5.24,-5.93,-7.06,-5.3,-5.59,-5.39,-6.0,-8.05,-6.08,-5.82,-4.78,-5.73,-5.46,-5.01,-5.78,-5.91,-6.08
1962-10,-5.5,-3.28,-1.35,-1.3,-3.58,-2.03,-1.09,-1.56,-1.3,-4.9,-2.27,-2.65,-1.42,0.24,-2.37,-1.81,-1.31,-1.59,-1.01
1962-11,13.48,14.73,11.96,12.89,15.59,12.42,12.29,11.68,13.31,15.98,15.2,12.92,11.93,13.2,11.42,11.31,12.05,13.36,13.26
1962-12,-2.67,-0.63,0.08,-0.17,-1.01,0.46,0.34,-0.83,0.0,-1.7,-0.33,0.17,0.75,0.49,0.21,-1.13,-0.52,0.08,-0.08
1963-01,13.39,6.24,7.24,7.93,6.31,6.59,6.29,7.69,8.85,7.59,5.04,6.1,7.07,6.37,6.21,9.31,6.04,7.73,9.95
1963-02,1.04,-3.07,-1.66,-0.61,-3.74,-2.24,-1.42,-0.9,-0.5,-4.78,-2.71,-1.66,-2.82,-1.86,-1.0,-0.98,-0.82,0.08,-1.07
1963-03,3.65,1.02,2.31,2.78,0.86,2.04,2.12,2.32,2.98,0.8,0.92,1.35,2.73,1.99,2.24,2.28,2.36,2.27,3.67
1963-04,4.81,3.52,3.64,4.39,3.59,3.82,3.95,3.29,4.48,4.27,2.91,3.36,4.27,3.28,4.6,2.39,4.21,3.14,5.78
1963-05,4.51,2.76,2.15,3.8,2.67,2.16,2.35,3.09,3.85,3.43,1.9,2.95,1.39,3.12,1.62,2.49,3.69,3.08,4.6
1963-06,-2.23,-1.23,-1.81,-1.61,-1.16,-1.43,-1.96,-1.94,-1.39,-0.88,-1.44,-1.36,-1.5,-1.83,-2.09,-1.83,-2.05,-1.31,-1.47
1963-07,1.25,-0.22,-0.6,-1.06,-0.85,0.29,-0.1,-1.39,-0.96,-1.14,-0.46,1.22,-0.69,-0.14,-0.06,-1.48,-1.31,-1.36,-0.64
1963-08,-0.4,4.77,4.7,4.18,5.03,4.29,4.68,4.74,4.07,5.46,4.45,4.17,4.41,3.86,5.44,5.05,4.46,2.97,4.94
1963-09,-0.7,-1.98,-1.14,-1.16,-2.22,-1.8,-0.66,-0.87,-1.34,-1.66,-3.0,-1.43,-2.19,-0.25,-1.03,-1.03,-0.72,0.07,-2.45
1963-10,2.65,1.32,1.12,2.08,1.53,1.37,1.36,1.61,1.59,1.43,1.67,0.83,1.94,0.66,2.0,-0.15,3.3,1.22,1.87
1963-11,-4.44,-2.42,-0.89,-1.01,-2.41,-2.02,-1.18,-0.73,-0.7,-2.34,-2.5,-2.44,-1.58,-0.55,-1.76,0.37,-1.77,-0.4,-0.94
1963-12,-6.94,0.27,0.68,-0.61,0.15,0.75,0.47,0.75,-1.15,-0.37,0.87,0.52,0.99,0.6,0.35,0.77,0.74,-0.61,-1.57
1964-01,10.66,2.81,2.02,4.93,3.04,2.39,1.5,3.19,5.38,3.37,2.59,2.3,2.49,1.2,1.78,2.55,3.81,4.47,6.1
